time_s,voltage_CH1_V,voltage_CH2_V
-0.0032796,-0.36,3.6399999
-0.0032791999999953257,-0.36,3.6399999
-0.0032787999999906513,-0.32000002,3.6399999
-0.003278399999985977,-0.36,3.6399999
-0.0032779999999813024,-0.36,3.68
-0.003277599999976628,-0.36,3.6399999
-0.0032771999999719535,-0.36,3.6399999
-0.003276799999967279,-0.32000002,3.6399999
-0.0032763999999626046,-0.32000002,3.6399999
-0.00327599999995793,-0.36,3.6399999
-0.0032755999999532557,-0.32000002,3.68
-0.0032751999999485813,-0.32000002,3.6399999
-0.003274799999943907,-0.32000002,3.6399999
-0.0032743999999392324,-0.36,3.6399999
-0.003273999999934558,-0.32000002,3.68
-0.0032735999999298836,-0.32000002,3.6399999
-0.003273199999925209,-0.36,3.6399999
-0.0032727999999205347,-0.36,3.68
-0.0032723999999158602,-0.32000002,3.6399999
-0.003271999999911186,-0.32000002,3.6399999
-0.0032715999999065114,-0.32000002,3.6399999
-0.003271199999901837,-0.32000002,3.6399999
-0.0032707999998971625,-0.32000002,3.6399999
-0.003270399999892488,-0.36,3.6399999
-0.0032699999998878136,-0.36,3.6399999
-0.003269599999883139,-0.36,3.6399999
-0.0032691999998784647,-0.32000002,3.6399999
-0.0032687999998737903,-0.32000002,3.6399999
-0.003268399999869116,-0.32000002,3.6399999
-0.0032679999998644414,-0.32000002,3.6399999
-0.003267599999859767,-0.36,3.6399999
-0.0032671999998550925,-0.32000002,3.6399999
-0.003266799999850418,-0.32000002,3.6399999
-0.0032663999998457437,-0.32000002,3.6399999
-0.003265999999841069,-0.32000002,3.6399999
-0.0032655999998363948,-0.32000002,3.6399999
-0.0032651999998317203,-0.32000002,3.6399999
-0.003264799999827046,-0.36,3.6399999
-0.0032643999998223715,-0.32000002,3.68
-0.003263999999817697,-0.36,3.6399999
-0.0032635999998130226,-0.32000002,3.6399999
-0.003263199999808348,-0.32000002,3.6399999
-0.0032627999998036737,-0.32000002,3.6399999
-0.0032623999997989993,-0.36,3.6399999
-0.003261999999794325,-0.36,3.6399999
-0.0032615999997896504,-0.36,3.6399999
-0.003261199999784976,-0.36,3.6399999
-0.0032607999997803015,-0.36,3.6399999
-0.003260399999775627,-0.36,3.6399999
-0.0032599999997709526,-0.36,3.68
-0.003259599999766278,-0.32000002,3.6399999
-0.0032591999997616037,-0.36,3.68
-0.0032587999997569293,-0.36,3.6399999
-0.003258399999752255,-0.32000002,3.6399999
-0.0032579999997475804,-0.32000002,3.6399999
-0.003257599999742906,-0.36,3.6399999
-0.0032571999997382316,-0.36,3.6399999
-0.003256799999733557,-0.32000002,3.6399999
-0.0032563999997288827,-0.32000002,3.68
-0.0032559999997242082,-0.32000002,3.6399999
-0.003255599999719534,-0.36,3.6399999
-0.0032551999997148594,-0.36,3.6399999
-0.003254799999710185,-0.36,3.6399999
-0.0032543999997055105,-0.36,3.6399999
-0.003253999999700836,-0.32000002,3.6399999
-0.0032535999996961616,-0.32000002,3.6399999
-0.003253199999691487,-0.32000002,3.6399999
-0.0032527999996868127,-0.32000002,3.6399999
-0.0032523999996821383,-0.36,3.6399999
-0.003251999999677464,-0.36,3.6399999
-0.0032515999996727894,-0.36,3.6399999
-0.003251199999668115,-0.36,3.6399999
-0.0032507999996634405,-0.36,3.6399999
-0.003250399999658766,-0.36,3.6399999
-0.0032499999996540917,-0.32000002,3.6399999
-0.003249599999649417,-0.32000002,3.6399999
-0.0032491999996447428,-0.32000002,3.68
-0.0032487999996400683,-0.36,3.6399999
-0.003248399999635394,-0.32000002,3.6399999
-0.0032479999996307195,-0.36,3.68
-0.003247599999626045,-0.36,3.6399999
-0.0032471999996213706,-0.32000002,3.6399999
-0.003246799999616696,-0.32000002,3.6399999
